COMM_CODE,NAME,RES_CNT
GBK,GLENBROOK,7442
GBP,GLENDEER BUSINESS PARK,0
GDL,GLENDALE,2765
GLA,GLAMORGAN,6522
GPI,GREAT PLAINS,0
GPK,GLENMORE PARK,0
GRE,GREENWOOD/GREENBRIAR,896
GRI,GREENVIEW INDUSTRIAL PARK,225
GRV,GREENVIEW,1906
GTI,GOLDEN TRIANGLE,0
HAM,HAMPTONS,7382
HAR,HARVEST HILLS,7420
HAW,HAWKWOOD,9248
HAY,HAYSBORO,7080
HID,HIDDEN VALLEY,11566
HIF,HIGHFIELD,0
HIL,HILLHURST,6558
HIW,HIGHWOOD,2258
HKS,HOTCHKISS,0
HOR,HORIZON,0
HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,2798
HPK,HIGHLAND PARK,3838
HSD,HOMESTEAD,0
HSN,HASKAYNE,0
HUN,HUNTINGTON HILLS,13420
ING,INGLEWOOD,4024
KCA,KINCORA,6889
KEL,KELVIN GROVE,2305
KIL,KILLARNEY/GLENGARRY,7685
KIN,KINGSLAND,4688
KSH,KEYSTONE HILLS,0
LEG,LEGACY,6420
LIV,LIVINGSTON,1477
LKB,LAKE BONAVISTA,10293
LKV,LAKEVIEW,5355
LMR,LOWER MOUNT ROYAL,3457
LPK,LINCOLN PARK,2617
MAC,MACEWAN GLEN,4754
MAF,MAYFAIR,432
MAH,MAHOGANY,11784
MAL,MAYLAND HEIGHTS,5961
MAN,MANCHESTER,1025
MCI,MCCALL,0
MCK,MCKENZIE LAKE,13406
MCT,MCKENZIE TOWNE,18283
MDH,MEDICINE HILL,0
MEA,MEADOWLARK PARK,644
MER,MERIDIAN,0
MID,MIDNAPORE,7270
MIS,MISSION,4598
MLI,MAYLAND,0
MLR,MILLRISE,6900
MNI,MANCHESTER INDUSTRIAL,0
MON,MONTGOMERY,4515
MOP,MOUNT PLEASANT,5889
MOR,MONTEREY PARK,10372
MPK,MARLBOROUGH PARK,8523
MPL,MAPLE RIDGE,1916
MRL,MARLBOROUGH,9162
MRT,MARTINDALE,14245
NAW,NORTH AIRWAYS,0
NEB,NEW BRIGHTON,13103
NGM,NORTH GLENMORE PARK,2391
NHU,NORTH HAVEN UPPER,599
NHV,NORTH HAVEN,2359
NOL,NOLAN HILL,7505
NPK,NOSE HILL PARK,0
OAK,OAKRIDGE,5690
OGD,OGDEN,8576
OSH,OGDEN SHOPS,0
PAL,PALLISER,3672
PAN,PANORAMA HILLS,25710
PAT,PATTERSON,4202
PCK,PINE CREEK,14
PEG,PEGASUS,0
PEN,PENBROOKE MEADOWS,8554
PIN,PINERIDGE,10022
PKD,PARKDALE,2566
PKH,PARKHILL,1691
PKL,PARKLAND,3660
POI,POINT MCKAY,1343
PUM,PUMP HILL,1640
QLD,QUEENSLAND,4743
QPK,QUEENS PARK VILLAGE,455
RAM,RAMSAY,2158
RAN,RANCHLANDS,7607
RCK,ROSSCARROCK,3625
RDL,ROSEDALE,1560
RED,RED CARPET,1594
REN,RENFREW,6582
RIC,RICHMOND,4962
RID,RIDEAU PARK,594
RIV,RIVERBEND,9244
RMT,ROSEMONT,1254
ROC,ROCKY RIDGE,8398
ROX,ROXBORO,422
ROY,ROYAL OAK,11706
RSN,REDSTONE,5848
RUN,RUNDLE,11688
RUT,RUTLAND PARK,2263
RVW,RANGEVIEW,0
RYV,ROYAL VISTA,0
S23,SECTION 23,0
SAD,SADDLE RIDGE,22321
SAN,SANDSTONE VALLEY,5904
SAW,SOUTH AIRWAYS,0
SCA,SCARBORO,931
SCE,SCENIC ACRES,8067
SDC,SUNDANCE,9736
SET,SETON,1134
SFH,SOUTH FOOTHILLS,0
SGH,SAGE HILL,7924
SGL,STONEGATE LANDING,0
SHG,SHAGANAPPI,1626
SHI,SHEPARD INDUSTRIAL,255
SHN,SHAWNESSY,9368
SHS,SHAWNEE SLOPES,1911
SHW,SHERWOOD,6246
SIG,SIGNAL HILL,13395
SIL,SILVER SPRINGS,8679
SKE,SKYLINE EAST,0
SKR,SKYVIEW RANCH,11707
SKW,SKYLINE WEST,0
SNA,SUNALTA,3239
SOC,SOUTH CALGARY,4442
SOM,SOMERSET,8543
SOV,SOUTHVIEW,1805
SOW,SOUTHWOOD,6246
SPH,SPRINGBANK HILL,9943
SPR,SPRUCE CLIFF,4673
SRI,SADDLE RIDGE INDUSTRIAL,25
SSD,SUNNYSIDE,4230
SSW,SCARBORO/ SUNALTA WEST,401
ST1,STONEY 1,0
ST2,STONEY 2,0
ST3,STONEY 3,0
ST4,STONEY 4,0
STA,ST. ANDREWS HEIGHTS,1795
STD,STARFIELD,0
STR,STRATHCONA PARK,6855
SUN,SUNRIDGE,11
SVO,SILVERADO,7655
TAR,TARADALE,19026
TEM,TEMPLE,10977
THO,THORNCLIFFE,8788
TUS,TUSCANY,19884
TUX,TUXEDO PARK,5326
UMR,UPPER MOUNT ROYAL,2478
UND,UNIVERSITY DISTRICT,705
UNI,UNIVERSITY HEIGHTS,2921
UOC,UNIVERSITY OF CALGARY,2367
VAF,VALLEYFIELD,0
VAL,VALLEY RIDGE,5585
VAR,VARSITY,12874
VIS,VISTA HEIGHTS,2370
WAL,WALDEN,6228
WBN,WOODBINE,8866
WES,WESTWINDS,0
WGT,WESTGATE,3202
WHI,WHITEHORN,12019
WHL,WEST HILLHURST,6447
WIL,WILLOW PARK,5328
WIN,WINSTON HEIGHTS/MOUNTVIEW,3635
WLD,WILDWOOD,2709
WND,WINDSOR PARK,4584
WOO,WOODLANDS,6002
WSP,WEST SPRINGS,10758
WWO,WOLF WILLOW,0
YKV,YORKVILLE,14
